Symbol,Name,Quantity,Price,PriceDate,MarketValue,Weight
SHEL,SHELL PLC ADR,0.11348,92.94999694824219,2026-09-04,10.547965653686523,0.005312394552193899
AZN,ASTRAZENECA PLC,0.06402,162.6999969482422,2026-09-04,10.416053804626463,0.005245958254302507
GEV,GE VERNOVA INC,0.01101,941.9500122070312,2026-09-04,10.370869634399416,0.00522320162542823
ANET,ARISTA NETWORKS INC,0.05212,193.77999877929688,2026-09-04,10.099813536376953,0.005086686492012887
KLAC,KLA CORP,0.05399,185.60000610351562,2026-09-04,10.020544329528809,0.005046763219939127
AMGN,AMGEN INC,0.02234,437.2300109863281,2026-09-04,9.76771844543457,0.004919429581073283
TXN,TEXAS INSTRUMENTS INC,0.03774,258.44000244140625,2026-09-04,9.753525692138673,0.004912281519753667
BHP,BHP GROUP LTD ADR,0.10493,90.41999816894531,2026-09-04,9.487770407867432,0.00477843609678475
TMO,THERMO FISHER SCIENTIFIC,0.01528,613.780029296875,2026-09-04,9.378558847656251,0.004723432609235499
IBM,IBM CORP,0.03893,234.88999938964844,2026-09-04,9.144267676239014,0.004605433823163509
LIN,LINDE PLC,0.01905,477.57000732421875,2026-09-04,9.097708639526367,0.004581984754299579
CRWD,CROWDSTRIKE HLDGS A,0.04208,213.10000610351562,2026-09-04,8.967248256835937,0.004516279475287834
